2theta (degree),Intensity
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,0.0
0.10742077606557873,0.0
0.11094276872346658,0.0
0.1144647613813544,0.0
0.11798675403924222,0.0
0.12150874669713005,0.0
0.1250307393550179,0.0
0.1285527320129057,94547399.453865
0.13207472467079354,88967600.24406622
0.1355967173286814,58443427.72859209
0.1391187099865692,103771062.18448596
0.14264070264445702,176684606.59510675
0.14616269530234485,212601866.97468433
0.14968468796023265,150831522.65371403
0.1532066806181205,17482296.919484075
0.15672867327600834,84485016.96693957
0.16025066593389617,130431633.8806038
0.163772658591784,135589054.13888013
0.16729465124967183,136684311.20707953
0.17081664390755966,116276878.51569931
0.17433863656544746,194188286.81255472
0.1778606292233353,146169006.66934696
0.18138262188122314,129086928.52466293
0.18490461453911095,155870112.37036577
0.18842660719699877,168508855.1901955
0.19194859985488663,100523803.75972348
0.19547059251277443,107533694.26360232
0.19899258517066226,133213584.90093188
0.2025145778285501,79157482.4366675
0.20603657048643792,95223998.281486
0.20955856314432575,100206199.48612408
0.21308055580221358,151685330.3127082
0.2166025484601014,144967697.13215902
0.22012454111798924,128226796.34136958
0.22364653377587707,118151063.01028253
0.2271685264337649,119482299.75920463
0.23069051909165272,90430047.93079802
0.23421251174954053,128483142.12067904
0.23773450440742838,134792956.0355031
0.24125649706531618,110707935.81736779
0.244778489723204,130579985.81439337
0.24830048238109187,104359216.8002558
0.25182247503897964,149348245.10902712
0.2553444676968675,146393327.34640014
0.25886646035475536,121636701.91793811
0.26238845301264313,103086540.16496257
