## Paineira Beamline - Sirius
## Detector: Pimega 450D
## Merge position using the 'zero' and 'step' positions
## 'Zero' position (degrees): 35.7957
## 'Step' position (degrees): 35.83069999999999
## Acquisition time (s): 23.000000
## Acquisition period (s): 23.200001
## Acquisition mode: 24 bits
## Number of exposures: 1
## Pixel mode: single pixel
## Threshold_0: [98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98]
## Threshold_1: [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]
## Flatfield path: /ibira/lnls/beamlines/paineira/apps/pimega_450d/azimuthal_integration/flatfield/flatfields_2025
## Flatfield: FF_25keV.tif
## Reprocessed data
## Processed: 2025-07-10 15:27:42
## Localization: /ibira/lnls/beamlines/paineira/proposals/20241630/proc/highthroughput_data/2025/REPROCESSED_PIMEGA_FILES_July_2025/pimega_files/march/table_17391_8mar2025_174411_system/merge_files/Highthroughput_PIMEGA_20241630_VS55_HEPES_50P_ROTATE_80K_PNR4HM0139_80Kelvin_08-03-2025_19-05-10_2172_MERGE.csv
2theta (degree),Intensity (a.u.)
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,1575928673.1410706
0.10742077606557873,1440200535.9734821
0.11094276872346658,1141316394.641364
0.1144647613813544,1065998910.642123
0.11798675403924222,745030288.0552523
0.12150874669713005,618344904.1635723
0.1250307393550179,1015865672.3855411
0.1285527320129057,1057463941.1346778
0.13207472467079354,717020720.1485999
0.1355967173286814,1190491418.111037
0.1391187099865692,857219680.6359938
0.14264070264445702,738155229.3045682
0.14616269530234485,867803046.3685842
0.14968468796023265,858527052.8127947
0.1532066806181205,878573215.8733183
0.15672867327600834,1013511552.9722712
0.16025066593389617,796365533.7579186
0.163772658591784,903385133.0093956
0.16729465124967183,791539502.0133144
0.17081664390755966,1175382907.1812735
0.17433863656544746,680263117.1354681
0.1778606292233353,938440158.997123
0.18138262188122314,978390982.1465081
0.18490461453911095,913516355.7817222
0.18842660719699877,949907590.593434
0.19194859985488663,918812843.6151968
0.19547059251277443,991046875.0500128
0.19899258517066226,1198826809.63248
0.2025145778285501,981091747.1328338
0.20603657048643792,1003287528.8064933
0.20955856314432575,961042027.0127546
0.21308055580221358,991253734.0330825
0.2166025484601014,1001526481.2235849
0.22012454111798924,1026119282.8439217
0.22364653377587707,1013975432.662574
0.2271685264337649,1017603026.4686446
0.23069051909165272,1125587579.3108885
0.23421251174954053,1127817630.5916202
0.23773450440742838,1422110110.7706735
0.24125649706531618,1726127243.1351235
0.244778489723204,2185764008.8652806
0.24830048238109187,2461672175.125683
0.25182247503897964,3386341977.6398335
0.2553444676968675,3610864676.939434
0.25886646035475536,4027934610.2287807
0.26238845301264313,4662967810.126135
0.265910445670531,4987880910.939874
