## Paineira Beamline - Sirius
## Detector: Pimega 450D
## Merge position using the 'zero' and 'step' positions
## 'Zero' position (degrees): 35.7957
## 'Step' position (degrees): 35.83069999999999
## Acquisition time (s): 23.000000
## Acquisition period (s): 23.200001
## Acquisition mode: 24 bits
## Number of exposures: 1
## Pixel mode: single pixel
## Threshold_0: [98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98]
## Threshold_1: [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]
## Flatfield path: /ibira/lnls/beamlines/paineira/apps/pimega_450d/azimuthal_integration/flatfield/flatfields_2025
## Flatfield: FF_25keV.tif
## Reprocessed data
## Processed: 2025-06-26 22:54:13
## Localization: /ibira/lnls/beamlines/paineira/proposals/00000000/proc/REPROCESSED_June_2025/pimega_450d/2025/february/main_folder_vs55/merge_files/vs55_300Kelvin_256_MERGE.csv
2theta (degree),Intensity (a.u.)
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,225132665.35605147
0.10742077606557873,148692627.44365057
0.11094276872346658,23158219.444852374
0.1144647613813544,35235272.34293834
0.11798675403924222,266439051.9504927
0.12150874669713005,36295928.48579815
0.1250307393550179,16948103.090753064
0.1285527320129057,59113168.17732364
0.13207472467079354,57315030.68843745
0.1355967173286814,19146603.496628296
0.1391187099865692,137914361.09969634
0.14264070264445702,16093750.755895508
0.14616269530234485,0.0
0.14968468796023265,28542730.01993865
0.1532066806181205,86014891.0199106
0.15672867327600834,123267904.51493578
0.16025066593389617,52640612.519813046
0.163772658591784,25020784.836713705
0.16729465124967183,67938986.88206781
0.17081664390755966,41996522.46659242
0.17433863656544746,79031031.53583473
0.1778606292233353,80909718.83609745
0.18138262188122314,95269927.38226216
0.18490461453911095,149191360.67545405
0.18842660719699877,79707099.75373791
0.19194859985488663,64552631.05602656
0.19547059251277443,82592016.82223976
0.19899258517066226,106097287.77361548
0.2025145778285501,74981868.07878235
0.20603657048643792,70402314.88453826
0.20955856314432575,64333099.769261025
0.21308055580221358,53592218.61135753
0.2166025484601014,61112852.89291841
0.22012454111798924,55565204.8194182
0.22364653377587707,53031838.23456381
0.2271685264337649,54387280.15596441
0.23069051909165272,72734499.41661698
0.23421251174954053,75470481.13936816
0.23773450440742838,99035164.45447758
0.24125649706531618,76388816.95377004
0.244778489723204,68340674.57585959
0.24830048238109187,67909800.1496948
0.25182247503897964,77384422.34008005
