## Paineira Beamline - Sirius
## Detector: Pimega 450D
## Merge position using the 'zero' and 'step' positions
## 'Zero' position (degrees): 35.7957
## 'Step' position (degrees): 35.83069999999999
## Acquisition time (s): 23.000000
## Acquisition period (s): 23.200001
## Acquisition mode: 24 bits
## Number of exposures: 1
## Pixel mode: single pixel
## Threshold_0: [98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98]
## Threshold_1: [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]
## Flatfield path: /ibira/lnls/beamlines/paineira/apps/pimega_450d/azimuthal_integration/flatfield/flatfields_2025
## Flatfield: FF_25keV.tif
## Reprocessed data
## Processed: 2025-07-10 14:38:23
## Localization: /ibira/lnls/beamlines/paineira/proposals/20241630/proc/REPROCESSED_July_2025/pimega_450d/2025/march/main_folder_vs55_hepes_95p_rotate_6kmin/merge_files/vs55_hepes_95p_rotate_6kmin_RAMP_258Kelvin_1762_MERGE.csv
2theta (degree),Intensity (a.u.)
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,1051564527.4555149
0.10742077606557873,967889021.3224671
0.11094276872346658,713482078.9912258
0.1144647613813544,933468839.9254396
0.11798675403924222,1102954136.9505517
0.12150874669713005,696643325.0146223
0.1250307393550179,1132689928.6889586
0.1285527320129057,880642584.226819
0.13207472467079354,850831764.1412002
0.1355967173286814,1077419637.7660794
0.1391187099865692,1034556744.6849841
0.14264070264445702,1218268057.7589262
0.14616269530234485,1040608899.4129896
0.14968468796023265,966212828.0728644
0.1532066806181205,952579313.7906147
0.15672867327600834,891582555.5942991
0.16025066593389617,896493905.4598061
0.163772658591784,809748249.4999667
0.16729465124967183,761523983.6156625
0.17081664390755966,1149037067.1970663
0.17433863656544746,1106396975.2237895
0.1778606292233353,815679723.4943918
0.18138262188122314,935468754.7511182
0.18490461453911095,1033930435.4035169
0.18842660719699877,1057606378.1146013
0.19194859985488663,940109157.6268686
0.19547059251277443,1067341939.3240232
0.19899258517066226,956887584.1842982
0.2025145778285501,993186449.7754768
0.20603657048643792,1105964933.7054915
0.20955856314432575,1040499099.5852567
0.21308055580221358,886381445.0556405
0.2166025484601014,985477313.9472063
0.22012454111798924,936175265.2820351
0.22364653377587707,926716234.7804949
0.2271685264337649,1056521996.8902297
0.23069051909165272,1098661035.7361066
0.23421251174954053,1295602010.3439708
0.23773450440742838,1565489880.5140398
0.24125649706531618,1990514539.692899
0.244778489723204,2533731189.1992626
0.24830048238109187,2795686706.988006
0.25182247503897964,3493289698.039192
0.2553444676968675,3895551499.911652
