2theta (degree),Intensity
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,0.0
0.10742077606557873,0.0
0.11094276872346658,0.0
0.1144647613813544,0.0
0.11798675403924222,0.0
0.12150874669713005,0.0
0.1250307393550179,0.0
0.1285527320129057,279816291.37669796
0.13207472467079354,238296913.0828817
0.1355967173286814,142852929.14855385
0.1391187099865692,97214616.99210621
0.14264070264445702,114516460.20022923
0.14616269530234485,279625108.7384134
0.14968468796023265,236223705.8202886
0.1532066806181205,274173825.4781776
0.15672867327600834,168262801.23179603
0.16025066593389617,201762776.736364
0.163772658591784,218085200.04458252
0.16729465124967183,124244531.45599917
0.17081664390755966,79207352.60197574
0.17433863656544746,161470670.94128093
0.1778606292233353,199165119.2632598
0.18138262188122314,185254628.20914257
0.18490461453911095,256516722.3462608
0.18842660719699877,191270850.87105572
0.19194859985488663,127193289.2616416
0.19547059251277443,189854779.1545988
0.19899258517066226,143593055.22180685
0.2025145778285501,177418660.10159606
0.20603657048643792,204968372.94399074
0.20955856314432575,200121222.06424892
0.21308055580221358,224839426.13736737
0.2166025484601014,271968240.42439103
0.22012454111798924,198050739.31651023
0.22364653377587707,185932603.53298533
0.2271685264337649,151520938.54546735
0.23069051909165272,144741759.45042706
0.23421251174954053,235615155.38986433
0.23773450440742838,217209676.61238608
0.24125649706531618,151755405.81981337
0.244778489723204,163354541.48033398
0.24830048238109187,184031154.7032479
0.25182247503897964,220322229.6701871
0.2553444676968675,207682890.30681345
0.25886646035475536,172304432.09608942
0.26238845301264313,189084299.51793724
