2theta (degree),Intensity
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,0.0
0.10742077606557873,0.0
0.11094276872346658,0.0
0.1144647613813544,0.0
0.11798675403924222,0.0
0.12150874669713005,0.0
0.1250307393550179,0.0
0.1285527320129057,380121589.7371944
0.13207472467079354,154671841.08708078
0.1355967173286814,91112527.70622765
0.1391187099865692,204528523.29733586
0.14264070264445702,126655508.13276519
0.14616269530234485,90408355.58100162
0.14968468796023265,107843261.75820221
0.1532066806181205,62378443.150861464
0.15672867327600834,194306092.39265364
0.16025066593389617,239272429.9532594
0.163772658591784,246953350.36962986
0.16729465124967183,192609614.59350133
0.17081664390755966,195383506.61022037
0.17433863656544746,134178085.51246248
0.1778606292233353,152433970.74812043
0.18138262188122314,165823047.58242235
0.18490461453911095,286477398.3046366
0.18842660719699877,220164459.6396624
0.19194859985488663,239114697.52976835
0.19547059251277443,142875765.70133334
0.19899258517066226,148832928.6378254
0.2025145778285501,234226829.76558247
0.20603657048643792,260537151.5528707
0.20955856314432575,187017838.78404546
0.21308055580221358,190929451.35018367
0.2166025484601014,196767987.18388197
0.22012454111798924,223519969.33519587
0.22364653377587707,224784976.61015195
0.2271685264337649,260010499.45785877
0.23069051909165272,189491280.2740844
0.23421251174954053,187245680.36323968
0.23773450440742838,209731138.66540527
0.24125649706531618,159596863.72073573
0.244778489723204,185806082.43290886
0.24830048238109187,196826242.2066124
0.25182247503897964,221844502.40201062
0.2553444676968675,196390671.21807358
0.25886646035475536,226251619.42234877
0.26238845301264313,246809607.02655795
