## Paineira Beamline - Sirius
## Detector: Pimega 450D
## Merge position using the 'zero' and 'step' positions
## 'Zero' position (degrees): 35.7957
## 'Step' position (degrees): 35.83069999999999
## Acquisition time (s): 23.000000
## Acquisition period (s): 23.200001
## Acquisition mode: 24 bits
## Number of exposures: 1
## Pixel mode: single pixel
## Threshold_0: [98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98]
## Threshold_1: [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]
## Flatfield path: /ibira/lnls/beamlines/paineira/apps/pimega_450d/azimuthal_integration/flatfield/flatfields_2025
## Flatfield: FF_25keV.tif
## Reprocessed data
## Processed: 2025-07-10 15:28:07
## Localization: /ibira/lnls/beamlines/paineira/proposals/20241630/proc/highthroughput_data/2025/REPROCESSED_PIMEGA_FILES_July_2025/pimega_files/march/table_17391_8mar2025_174411_system/merge_files/Highthroughput_PIMEGA_20241630_DP6_HEPES_90P_ROTATE_80K_PNR4HI0054_80Kelvin_08-03-2025_19-34-44_2180_MERGE.csv
2theta (degree),Intensity (a.u.)
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,974629507.6950791
0.10742077606557873,819514548.6935627
0.11094276872346658,850600871.2000257
0.1144647613813544,1097764264.6219382
0.11798675403924222,857666366.9577954
0.12150874669713005,830669937.3094798
0.1250307393550179,1183564700.6061957
0.1285527320129057,1119552380.4752388
0.13207472467079354,1068330235.4942554
0.1355967173286814,1019621086.232509
0.1391187099865692,1194104142.7084014
0.14264070264445702,827055896.9209747
0.14616269530234485,914199201.508796
0.14968468796023265,1001249545.4819378
0.1532066806181205,854258749.2404767
0.15672867327600834,1038538594.2740695
0.16025066593389617,902532420.1903541
0.163772658591784,1104573043.05818
0.16729465124967183,920879938.3349454
0.17081664390755966,872514349.8069359
0.17433863656544746,800047599.0472381
0.1778606292233353,976132332.4427109
0.18138262188122314,962860607.1250036
0.18490461453911095,1079416595.5700653
0.18842660719699877,998328719.9162287
0.19194859985488663,997308849.433415
0.19547059251277443,897008636.4217913
0.19899258517066226,986073055.5395743
0.2025145778285501,861905617.6713628
0.20603657048643792,1178499134.2322237
0.20955856314432575,1006409067.9589874
0.21308055580221358,987244590.3175945
0.2166025484601014,1014874088.0875126
0.22012454111798924,1020546254.9275999
0.22364653377587707,1097741438.7084262
0.2271685264337649,1067846846.7372929
0.23069051909165272,960892653.8250022
0.23421251174954053,1118113394.966043
0.23773450440742838,1586770807.3130853
0.24125649706531618,1852934718.6474853
0.244778489723204,2212022962.5108185
0.24830048238109187,2273508229.963532
0.25182247503897964,3089700079.090242
0.2553444676968675,3560751438.474549
0.25886646035475536,3942768986.3382387
0.26238845301264313,4780687488.508747
0.265910445670531,5063505275.618881
