## Paineira Beamline - Sirius
## Detector: Pimega 450D
## Merge position using the 'zero' and 'step' positions
## 'Zero' position (degrees): 35.7957
## 'Step' position (degrees): 35.83069999999999
## Acquisition time (s): 23.000000
## Acquisition period (s): 23.200001
## Acquisition mode: 24 bits
## Number of exposures: 1
## Pixel mode: single pixel
## Threshold_0: [98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98]
## Threshold_1: [100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]
## Flatfield path: /ibira/lnls/beamlines/paineira/apps/pimega_450d/azimuthal_integration/flatfield/flatfields_2025
## Flatfield: FF_25keV.tif
## Reprocessed data
## Processed: 2025-07-10 13:50:04
## Localization: /ibira/lnls/beamlines/paineira/proposals/20241630/proc/REPROCESSED_July_2025/pimega_450d/2025/march/main_folder_vs55_hepes_100p_rotate_6kmin_okay/merge_files/vs55_hepes_100p_rotate_6kmin_okay_093Kelvin_1674_MERGE.csv
2theta (degree),Intensity (a.u.)
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,903366864.805393
0.10742077606557873,788096995.4456134
0.11094276872346658,782118965.1191987
0.1144647613813544,954803156.1364393
0.11798675403924222,1074119076.5185587
0.12150874669713005,1031534028.4743294
0.1250307393550179,1038203616.5810517
0.1285527320129057,1111225267.4212112
0.13207472467079354,521359234.21385926
0.1355967173286814,1074741556.3375316
0.1391187099865692,817047450.7757051
0.14264070264445702,986895377.0288457
0.14616269530234485,781533502.7383269
0.14968468796023265,836663156.4748914
0.1532066806181205,838125971.5569395
0.15672867327600834,869664417.4420329
0.16025066593389617,1076196376.1614606
0.163772658591784,1010141614.4153308
0.16729465124967183,1249092031.4151382
0.17081664390755966,1034696650.120202
0.17433863656544746,1030607875.7300365
0.1778606292233353,921946378.035261
0.18138262188122314,992973277.6820586
0.18490461453911095,958569449.9688438
0.18842660719699877,897043917.5846436
0.19194859985488663,984680376.8154664
0.19547059251277443,861101721.1843107
0.19899258517066226,898603843.7954986
0.2025145778285501,1133352341.4864008
0.20603657048643792,935309637.6587114
0.20955856314432575,874560465.986097
0.21308055580221358,927995563.7740242
0.2166025484601014,987969531.6606897
0.22012454111798924,1150437795.0871692
0.22364653377587707,1135208242.8409832
0.2271685264337649,1081207609.147079
0.23069051909165272,1035904250.9968392
0.23421251174954053,1264710822.927218
0.23773450440742838,1412549408.062228
0.24125649706531618,1921325868.2744796
0.244778489723204,2340783433.1202097
0.24830048238109187,2673833539.2935658
0.25182247503897964,3540207109.8156104
0.2553444676968675,3944743492.020862
