2theta (degree),Intensity
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,0.0
0.10742077606557873,0.0
0.11094276872346658,0.0
0.1144647613813544,0.0
0.11798675403924222,0.0
0.12150874669713005,0.0
0.1250307393550179,0.0
0.1285527320129057,83690210.87567762
0.13207472467079354,42731552.94156399
0.1355967173286814,36502839.44125852
0.1391187099865692,73643956.15430343
0.14264070264445702,167325341.58500552
0.14616269530234485,134217607.51120643
0.14968468796023265,99403585.158044
0.1532066806181205,84324185.45142128
0.15672867327600834,117027981.75230609
0.16025066593389617,221638682.8094212
0.163772658591784,172275969.26694995
0.16729465124967183,95564186.58640218
0.17081664390755966,39817564.50541441
0.17433863656544746,122433611.45257346
0.1778606292233353,185583182.3016914
0.18138262188122314,112772259.56208202
0.18490461453911095,128106672.68468514
0.18842660719699877,125046965.8733309
0.19194859985488663,149915508.19403237
0.19547059251277443,125361644.59894535
0.19899258517066226,147787684.41784143
0.2025145778285501,158906687.2671305
0.20603657048643792,158698256.72590965
0.20955856314432575,175700776.84699297
0.21308055580221358,137149803.85998294
0.2166025484601014,128144288.6342542
0.22012454111798924,145828276.28880796
0.22364653377587707,110299987.75044695
0.2271685264337649,113886171.31106442
0.23069051909165272,124977571.6517981
0.23421251174954053,104607319.81541769
0.23773450440742838,88682635.93741018
0.24125649706531618,102666678.03885117
0.244778489723204,100737955.02949074
0.24830048238109187,134789997.53915727
0.25182247503897964,126099655.80238464
0.2553444676968675,107214177.39001957
0.25886646035475536,107100408.32872637
0.26238845301264313,118249092.02994081
