2theta (degree),Intensity
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,0.0
0.10742077606557873,0.0
0.11094276872346658,0.0
0.1144647613813544,0.0
0.11798675403924222,0.0
0.12150874669713005,0.0
0.1250307393550179,0.0
0.1285527320129057,10857188.57818739
0.13207472467079354,68938069.54254076
0.1355967173286814,153735863.37050587
0.1391187099865692,125474933.9734402
0.14264070264445702,180353630.54069597
0.14616269530234485,205146191.73830247
0.14968468796023265,63850952.49256139
0.1532066806181205,37041955.51808932
0.15672867327600834,129261919.57956083
0.16025066593389617,142771124.70140916
0.163772658591784,152104542.34321135
0.16729465124967183,115093978.2870891
0.17081664390755966,86663983.49286178
0.17433863656544746,119890127.6891999
0.1778606292233353,76510475.4473924
0.18138262188122314,98214830.63359393
0.18490461453911095,109924730.57122238
0.18842660719699877,119809841.56724092
0.19194859985488663,112510727.75560416
0.19547059251277443,131935693.36745282
0.19899258517066226,121098534.38807255
0.2025145778285501,130209948.64356437
0.20603657048643792,113553398.75478877
0.20955856314432575,62184553.627020165
0.21308055580221358,71828941.9078085
0.2166025484601014,115951661.10393901
0.22012454111798924,133437705.00263335
0.22364653377587707,109574906.04518151
0.2271685264337649,71603605.55702095
0.23069051909165272,130688024.72612387
0.23421251174954053,91694695.68495901
0.23773450440742838,116602310.79005682
0.24125649706531618,104596719.58593374
0.244778489723204,110548538.29688999
0.24830048238109187,151661552.61551812
0.25182247503897964,86090085.21696872
0.2553444676968675,77074810.5411465
0.25886646035475536,89819337.16245478
0.26238845301264313,113381953.31056505
