2theta (degree),Intensity
0.0017609963289439137,0.0
0.005282988986831741,0.0
0.00880498164471957,0.0
0.012326974302607397,0.0
0.015848966960495224,0.0
0.01937095961838305,0.0
0.02289295227627088,0.0
0.026414944934158708,0.0
0.02993693759204653,0.0
0.03345893024993436,0.0
0.036980922907822185,0.0
0.04050291556571002,0.0
0.04402490822359784,0.0
0.04754690088148567,0.0
0.051068893539373494,0.0
0.05459088619726133,0.0
0.05811287885514915,0.0
0.061634871513036975,0.0
0.06515686417092481,0.0
0.06867885682881264,0.0
0.07220084948670046,0.0
0.07572284214458828,0.0
0.07924483480247611,0.0
0.08276682746036396,0.0
0.08628882011825177,0.0
0.08981081277613959,0.0
0.09333280543402743,0.0
0.09685479809191526,0.0
0.10037679074980309,0.0
0.1038987834076909,0.0
0.10742077606557873,0.0
0.11094276872346658,0.0
0.1144647613813544,0.0
0.11798675403924222,0.0
0.12150874669713005,0.0
0.1250307393550179,0.0
0.1285527320129057,0.0
0.13207472467079354,60941055.850538045
0.1355967173286814,51729362.85704084
0.1391187099865692,143375396.13492808
0.14264070264445702,93674450.28482106
0.14616269530234485,121205299.49406786
0.14968468796023265,37052174.79620125
0.1532066806181205,83409867.1174412
0.15672867327600834,130778587.82085674
0.16025066593389617,106481336.02606203
0.163772658591784,128318663.75671586
0.16729465124967183,110653622.5533752
0.17081664390755966,113117628.00494538
0.17433863656544746,122119920.03396372
0.1778606292233353,68112522.57427378
0.18138262188122314,104030374.19361983
0.18490461453911095,131797645.68248044
0.18842660719699877,122017117.09940678
0.19194859985488663,145236909.27821666
0.19547059251277443,89272637.93973172
0.19899258517066226,100725891.42688449
0.2025145778285501,112916027.52122462
0.20603657048643792,144201387.50552475
0.20955856314432575,146524348.21601734
0.21308055580221358,134326030.13789275
0.2166025484601014,135564037.96622542
0.22012454111798924,108590845.89132775
0.22364653377587707,99776550.01814766
0.2271685264337649,129651954.85518013
0.23069051909165272,147058353.05117965
0.23421251174954053,108062939.25349653
0.23773450440742838,84612065.01891519
0.24125649706531618,112231284.01042908
0.244778489723204,134631653.33617502
0.24830048238109187,126744857.37382087
0.25182247503897964,111092141.60089448
0.2553444676968675,115389721.71024276
0.25886646035475536,135219731.42337388
0.26238845301264313,138839331.8653924
